緯來,#genre#
精選動漫台,http://209.146.124.22:8891/4gtv/204 
經典卡通台,http://209.146.124.22:8891/4gtv/202 
達文西頻道,http://209.146.124.22:8891/litv/4gtv-4gtv018 
超人力霸王整套看,http://209.146.124.22:8891/4gtv/278 
MOMO 親子台,http://209.146.124.22:8891/4gtv/231 
LiveABC 互動英語台,http://209.146.124.22:8891/4gtv/188 
Classica 古典樂,http://209.146.124.22:8891/litv/4gtv-4gtv059 
Lifetime 娛樂頻道,http://209.146.124.22:8891/4gtv/217 
MTV Live HD 音樂頻道,http://209.146.124.22:8891/4gtv/213 
Mezzo Live,http://209.146.124.22:8891/litv/4gtv-4gtv083 
豬哥亮歌廳秀,http://209.146.124.22:8891/litv/4gtv-4gtv006 
Trace Urban,http://209.146.124.22:8891/litv/4gtv-4gtv082 
Global Trekker,http://209.146.124.22:8891/4gtv/252 
Globetrotter 環遊旅行家,http://209.146.124.22:8891/litv/4gtv-4gtv016 
LUXE TV,http://209.146.124.22:8891/4gtv/175 
Pet Club TV,http://209.146.124.22:8891/4gtv/182 
TV5MONDE Style,http://209.146.124.22:8891/4gtv/178 
車迷 TV,http://209.146.124.22:8891/4gtv/160 
Love Nature,http://209.146.124.22:8891/4gtv/139 
Fun 探索娛樂台,http://209.146.124.22:8891/4gtv/274 
幸福空間居家台,http://209.146.124.22:8891/4gtv/168 
Arirang TV,http://209.146.124.22:8891/litv/4gtv-4gtv079 
Bloomberg TV,http://209.146.124.22:8891/4gtv/283 
VOA 美國之音,http://209.146.124.22:8891/litv/litv-ftv03 
DW德國之聲,http://209.146.124.22:8891/4gtv/226 
SBN 全球財經台,http://209.146.124.22:8891/4gtv/224 
半島國際新聞台,http://209.146.124.22:8891/litv/litv-ftv10 
第1商業台,http://209.146.124.22:8891/litv/4gtv-4gtv104 
History 歷史頻道,http://209.146.124.22:8891/4gtv/214 
CI 罪案偵查頻道,http://209.146.124.22:8891/4gtv/215 
Smart 知識台,http://209.146.124.22:8891/litv/litv-longturn19 
視納華仁紀實頻道,http://209.146.124.22:8891/litv/4gtv-4gtv013 
原住民族電視台,http://209.146.124.22:8891/4gtv/273 
客家電視台,http://209.146.124.22:8891/litv/4gtv-4gtv043 
滾動力 Rollor,http://209.146.124.22:8891/4gtv/249 
好消息,http://209.146.124.22:8891/litv/litv-ftv16 
好消息2台,http://209.146.124.22:8891/litv/litv-ftv17 
大愛電視,http://209.146.124.22:8891/4gtv/209 
大愛電視2,http://209.146.124.22:8891/4gtv/230 
人間衛視,http://209.146.124.22:8891/4gtv/210 
國會頻道1,http://209.146.124.22:8891/litv/4gtv-4gtv084 
國會頻道2,http://209.146.124.22:8891/litv/4gtv-4gtv085台,http://209.146.124.22:8891/litv/litv-ftv17 
大愛電視,http://209.146.124.22:8891/4gtv/209 
大愛電視2,http://209.146.124.22:8891/4gtv/230 
人間衛視,http://209.146.124.22:8891/4gtv/210 
國會頻道1,http://209.146.124.22:8891/litv/4gtv-4gtv084 
國會頻道2,http://209.146.124.22:8891/litv/4gtv-4gtv085
